Index	First Frame	Number Frames	Frames Missing	Position X [nm]	Position Y [nm]	Precision [nm]	Number Photons	Background variance	Chi square	PSF half width [nm]	Channel	Z Slice
1668	2088	1	0	18235.2	24777.7	8.2	5210	286.07	0.96	131.9	1	1
1669	2095	1	0	23137.3	17902.1	18.0	2387	257.55	1.06	137.8	1	1
1670	2098	1	0	18373.2	9063.8	11.8	3821	210.81	0.90	146.9	1	1
1671	2099	1	0	23238.6	17871.0	10.5	3920	247.67	1.00	133.7	1	1
1672	2100	1	0	23214.1	17889.3	8.9	3484	228.72	1.01	117.1	1	1
1673	2101	1	0	23023.4	17973.1	11.9	3603	416.58	1.21	123.9	1	1
1674	2107	1	0	12917.6	14403.5	18.2	2339	343.08	1.09	130.2	1	1
1675	2122	1	0	13328.1	9113.6	12.3	3327	270.32	1.03	132.9	1	1
1676	2128	1	0	11119.9	14881.3	11.7	4961	271.91	0.74	160.5	1	1
1677	2130	1	0	12416.4	14800.7	13.4	2850	284.03	1.11	125.8	1	1
1678	2131	1	0	1658.1	4763.4	14.7	1628	128.46	0.74	121.3	1	1
1679	2138	1	0	12822.8	9644.9	9.2	5843	238.17	0.94	154.3	1	1
1680	2143	1	0	3810.1	4133.1	16.0	2909	243.34	0.94	148.1	1	1
1681	2145	1	0	13431.2	13009.5	9.4	3614	278.60	0.97	119.6	1	1
1682	2151	1	0	12069.5	13228.5	21.1	2566	318.44	1.06	149.5	1	1
1683	2153	1	0	12047.8	13222.7	11.9	1642	149.43	0.96	100.6	1	1
1684	2157	1	0	12138.0	15177.6	20.7	1304	277.14	1.19	107.3	1	1
1685	2167	1	0	17311.0	29666.5	12.8	2344	149.96	0.98	124.7	1	1
1686	2169	1	0	10366.1	11777.2	17.8	1952	289.25	1.11	121.1	1	1
1687	2173	1	0	27870.3	17141.3	17.2	1515	210.51	0.95	112.3	1	1
1688	2196	1	0	502.1	18946.3	11.0	2380	138.57	0.76	122.2	1	1
1689	2196	1	0	709.6	24245.8	15.6	2375	182.33	0.84	139.3	1	1
1690	2199	1	0	3856.7	20474.1	11.5	3069	202.59	0.97	129.9	1	1
1691	2201	1	0	7350.5	27476.0	21.5	1943	230.45	0.86	141.7	1	1
1692	2202	1	0	18824.1	7454.3	11.7	4381	334.11	1.22	141.5	1	1
1693	2203	1	0	7606.0	27414.6	11.4	2946	149.50	0.97	132.4	1	1
1694	2206	1	0	11971.4	8365.7	18.1	2245	265.74	0.98	135.1	1	1
1695	2212	1	0	6343.9	29275.0	13.4	2550	172.38	1.00	131.8	1	1
1696	2212	1	0	14257.1	15438.9	14.3	2629	169.98	0.89	138.9	1	1
1697	2213	1	0	12187.8	13311.4	16.0	2091	336.72	0.91	116.7	1	1
1698	2214	1	0	13109.6	10861.9	14.7	3612	280.13	0.97	150.5	1	1
1699	2215	1	0	14324.0	15548.4	23.1	1047	283.10	0.91	103.4	1	1
1700	2217	1	0	26706.1	14847.1	27.6	1264	243.85	1.09	125.9	1	1
1701	2220	1	0	6941.4	31631.4	10.5	3575	238.95	0.78	132.8	1	1
1702	2221	1	0	6933.9	31615.0	8.4	3495	140.76	0.74	127.4	1	1
1703	2225	1	0	17276.2	24721.9	17.1	5029	552.98	1.37	166.0	1	1
1704	2226	1	0	17397.3	5453.3	12.4	2869	284.51	1.00	123.3	1	1
1705	2226	1	0	16269.3	5218.1	8.4	4073	176.09	1.02	129.4	1	1
1706	2227	1	0	17396.9	24332.4	9.0	4055	221.48	0.95	127.9	1	1
1707	2231	1	0	14863.6	30910.4	9.0	4209	240.58	0.86	130.5	1	1
1708	2231	1	0	6884.6	31856.4	10.8	5332	759.97	0.96	128.8	1	1
1709	2238	1	0	24098.0	13875.5	13.1	4047	336.45	1.13	144.9	1	1
1710	2241	1	0	12178.0	13318.5	13.0	3438	374.34	1.09	130.3	1	1
1711	2244	1	0	12872.1	9598.8	15.4	3787	367.05	0.95	151.0	1	1
1712	2249	1	0	13003.9	17738.4	7.1	5537	340.87	0.92	122.6	1	1
1713	2250	1	0	3722.5	17935.0	13.3	2469	160.52	0.71	134.5	1	1
1714	2259	1	0	25630.1	11003.0	14.5	2999	307.70	1.26	131.4	1	1
1715	2261	1	0	3098.4	5882.3	15.7	2459	219.10	0.92	137.9	1	1
1716	2261	1	0	6064.6	27819.6	19.4	1586	180.08	0.92	125.9	1	1
1717	2262	1	0	6000.1	28133.7	14.3	3160	203.53	0.87	149.7	1	1
1718	2262	1	0	5206.5	10978.6	14.7	1761	155.02	0.92	117.7	1	1
1719	2264	1	0	9142.0	12465.8	9.9	4891	206.17	0.80	153.0	1	1
1720	2265	1	0	9032.0	12397.9	16.5	1741	166.08	0.83	123.9	1	1
1721	2266	1	0	4819.1	17727.2	16.4	2173	262.49	0.88	127.0	1	1
1722	2267	1	0	6965.5	31681.5	13.4	1677	100.04	0.89	116.8	1	1
1723	2267	1	0	11854.2	14976.5	16.1	2377	185.28	0.95	137.5	1	1
1724	2267	1	0	5513.3	22559.2	9.9	2897	210.42	1.03	114.6	1	1
1725	2268	1	0	13609.6	12257.2	18.0	4483	349.18	1.27	175.0	1	1
1726	2268	1	0	6940.6	31666.9	12.9	1927	198.61	0.96	110.2	1	1
1727	2269	1	0	6798.3	31763.4	17.2	2605	253.67	1.11	141.0	1	1
1728	2270	1	0	12107.1	24499.3	11.5	3621	237.38	0.77	139.1	1	1
1729	2271	1	0	27759.0	9420.0	10.3	4405	250.35	0.79	143.3	1	1
1730	2272	1	0	11610.6	11992.6	10.5	3262	211.22	0.78	127.9	1	1
1731	2272	1	0	19206.2	5159.1	8.1	5013	317.33	0.98	127.5	1	1
1732	2276	1	0	20934.9	26663.4	15.2	2317	282.16	1.06	122.1	1	1
1733	2277	1	0	14871.6	12756.3	11.4	3517	247.18	1.06	131.7	1	1
1734	2277	1	0	16006.4	3776.5	10.2	2431	128.98	0.96	116.6	1	1
1735	2279	1	0	20963.8	25372.2	8.4	3956	231.85	0.96	120.9	1	1
1736	2281	1	0	23308.1	6896.3	17.0	1580	184.00	0.92	117.5	1	1
1737	2282	1	0	10174.7	7059.9	15.3	2034	190.88	0.98	124.9	1	1
1738	2282	1	0	411.9	19054.1	16.1	4781	515.66	1.05	162.9	1	1
1739	2282	1	0	12445.1	31195.4	12.1	2422	155.37	0.94	123.3	1	1
1740	2283	1	0	569.4	19027.2	17.2	4524	687.55	1.85	150.5	1	1
1741	2284	1	0	760.5	19073.8	14.0	4149	133.20	0.94	180.2	1	1
1742	2284	1	0	12753.1	23762.8	10.1	2713	197.41	1.12	112.0	1	1
1743	2308	1	0	2686.3	17440.6	8.1	3075	174.08	0.99	109.7	1	1
1744	2309	1	0	753.9	20749.3	11.0	3426	189.08	0.99	136.0	1	1
1745	2312	1	0	20043.3	23553.8	19.9	2403	471.01	1.08	130.0	1	1
1746	2312	1	0	7166.7	15112.4	17.7	1990	363.24	1.05	117.7	1	1
1747	2319	1	0	20986.5	16928.6	13.8	4914	407.80	1.04	158.0	1	1
1748	2320	1	0	12864.5	13819.9	11.9	3264	199.84	0.70	139.0	1	1
1749	2321	1	0	22849.4	23006.7	9.0	3933	218.07	0.79	128.3	1	1
1750	2322	1	0	22840.0	23081.3	14.8	2292	247.34	1.17	121.2	1	1
1751	2331	1	0	15552.0	29848.4	7.1	4743	218.03	0.95	122.0	1	1
1752	2336	1	0	21819.1	25553.1	22.2	1310	262.97	1.03	113.2	1	1
1753	2340	1	0	21619.4	24033.4	11.3	2893	158.08	0.67	132.6	1	1
1754	2341	1	0	3115.7	15411.8	8.6	3129	163.60	0.89	117.0	1	1
1755	2341	1	0	13092.5	5987.0	18.3	2186	297.03	1.08	131.0	1	1
1756	2342	1	0	28158.3	16533.8	8.5	3965	191.76	1.04	124.5	1	1
1757	2343	1	0	2849.3	14865.3	16.0	5735	704.87	1.46	163.4	1	1
1758	2345	1	0	2451.2	14978.8	7.1	5312	249.44	1.03	126.6	1	1
1759	2345	1	0	2240.7	22354.0	9.6	2692	135.80	0.82	119.3	1	1
1760	2346	1	0	2505.0	14979.6	8.6	4271	254.79	1.00	126.1	1	1
1761	2350	1	0	25273.7	16484.3	14.2	4587	403.54	1.04	155.5	1	1
1762	2352	1	0	17676.8	4753.8	10.5	2531	153.02	0.82	119.7	1	1
1763	2355	1	0	12201.0	9805.5	10.6	4743	444.68	1.25	132.3	1	1
1764	2356	1	0	17834.9	14770.1	15.1	2805	314.11	0.99	132.1	1	1
1765	2356	1	0	12153.0	9858.9	12.1	2670	162.76	1.05	127.1	1	1
1766	2359	1	0	25448.8	8609.2	17.4	2612	288.58	1.23	137.8	1	1
1767	2361	1	0	28562.8	13871.6	12.5	3160	196.46	0.74	140.5	1	1
1768	2365	1	0	6570.4	31354.9	8.0	4177	222.19	1.07	121.5	1	1
1769	2367	1	0	19095.5	17596.0	22.8	1221	339.78	1.17	105.3	1	1
1770	2367	1	0	17418.3	6819.8	9.1	2815	203.59	0.84	110.8	1	1
1771	2368	1	0	19106.1	17611.8	7.1	3995	173.02	0.86	116.4	1	1
1772	2371	1	0	14309.1	12970.7	18.3	2941	217.89	0.90	159.4	1	1
1773	2375	1	0	25233.1	17140.5	13.0	2048	288.89	1.05	105.5	1	1
1774	2375	1	0	14784.0	7423.1	13.1	3681	183.32	0.91	155.5	1	1
1775	2376	1	0	25255.7	17189.0	14.9	1468	163.91	0.85	107.3	1	1
1776	2377	1	0	2071.6	18419.5	14.8	2540	268.59	0.97	129.3	1	1
1777	2378	1	0	30618.0	14874.4	20.3	2445	231.35	1.19	149.8	1	1
1778	2382	1	0	25259.7	17167.2	16.7	1307	212.35	0.92	102.5	1	1
1779	2384	1	0	2589.3	17687.6	16.8	2063	192.63	1.23	128.7	1	1
1780	2387	1	0	25295.9	17183.4	16.5	2511	309.31	1.12	130.0	1	1
1781	2391	1	0	22726.5	21341.3	16.9	2178	252.88	0.96	128.0	1	1
1782	2399	1	0	5257.1	9982.9	11.6	2205	216.88	0.98	109.5	1	1
1783	2400	1	0	5286.0	9984.1	8.5	3462	239.81	1.07	113.2	1	1
1784	2405	1	0	14494.8	4422.6	12.3	2224	181.32	0.87	118.6	1	1
1785	2410	1	0	30004.1	10822.7	18.6	1628	294.41	1.09	112.8	1	1
1786	2410	1	0	20366.0	5146.1	17.3	2377	296.81	0.97	133.1	1	1
1787	2413	1	0	17101.7	3445.8	13.6	2194	144.82	0.88	128.7	1	1
1788	2421	1	0	13108.5	4561.3	8.1	3864	171.03	0.95	124.5	1	1
1789	2422	1	0	11526.9	16503.8	21.6	1378	239.91	0.98	117.2	1	1
1790	2422	1	0	29649.2	16737.7	15.1	2005	198.93	1.02	120.7	1	1
1791	2427	1	0	21149.8	22657.9	11.3	3683	252.17	0.88	134.8	1	1
1792	2428	1	0	21139.8	22676.9	8.2	4007	156.18	1.10	124.1	1	1
1793	2436	1	0	3842.9	3855.2	11.2	2652	126.29	0.75	133.6	1	1
1794	2439	1	0	28000.5	15570.9	20.0	1689	252.27	0.96	123.4	1	1
1795	2445	1	0	16167.8	15484.5	11.5	3178	294.80	0.94	123.6	1	1
1796	2447	1	0	12135.1	16747.2	18.2	1620	180.64	1.02	120.6	1	1
1797	2450	1	0	17059.9	8759.3	10.4	3264	336.38	0.87	117.1	1	1
1798	2451	1	0	15050.1	4025.1	12.6	2295	151.64	0.71	128.3	1	1
1799	2451	1	0	15737.4	9892.0	9.9	2871	132.79	1.04	121.5	1	1
1800	2457	1	0	7939.4	11416.2	16.9	2417	263.96	1.12	133.8	1	1
1801	2460	1	0	15368.6	10366.7	11.4	1747	131.39	0.70	107.3	1	1
1802	2467	1	0	16280.7	9226.9	10.8	3015	267.04	1.01	118.5	1	1
1803	2468	1	0	5056.1	15243.3	9.0	3194	196.59	0.85	118.0	1	1
1804	2472	1	0	9075.7	4084.0	15.0	5158	372.07	0.86	175.8	1	1
1805	2476	1	0	5068.3	7393.5	14.7	1064	149.45	0.78	94.3	1	1
1806	2481	1	0	12380.3	13007.5	11.1	3401	353.79	0.97	121.3	1	1
1807	2488	1	0	22151.2	30339.1	32.7	684	385.12	1.25	92.4	1	1
1808	2490	1	0	11869.3	14652.7	21.0	1930	277.26	1.04	132.4	1	1
1809	2491	1	0	1477.9	7011.6	9.5	2902	119.81	0.90	125.9	1	1
1810	2492	1	0	14203.3	13574.7	17.3	2608	370.49	1.61	127.8	1	1
1811	2498	1	0	11890.8	12651.3	8.7	4475	287.85	1.16	124.5	1	1
1812	2500	1	0	28269.2	14877.0	13.5	3608	387.42	1.24	133.8	1	1
1813	2501	1	0	17237.5	11187.0	14.9	1803	177.29	0.90	117.0	1	1
1814	2501	1	0	24863.8	17264.6	13.7	2188	188.69	0.82	122.9	1	1
1815	2513	1	0	16080.7	13274.2	12.2	3367	278.97	0.87	132.9	1	1
1816	2513	1	0	12872.6	9604.9	15.4	2634	287.24	0.91	133.2	1	1
1817	2516	1	0	3609.9	18608.3	7.7	4838	224.32	0.85	130.4	1	1
1818	2519	1	0	1119.9	19416.7	14.4	2018	196.47	1.05	119.3	1	1
1819	2520	1	0	8028.2	26966.0	12.6	3075	252.14	0.84	132.7	1	1
1820	2522	1	0	11864.5	15038.2	20.0	2210	340.57	1.20	132.1	1	1
1821	2530	1	0	4111.2	16672.1	10.1	3094	204.79	0.99	121.6	1	1
1822	2531	1	0	2986.4	3875.9	13.7	1618	151.93	0.61	114.0	1	1
1823	2538	1	0	13601.1	9280.6	13.5	3013	291.29	0.81	133.3	1	1
1824	2539	1	0	13514.7	9227.5	7.2	4485	144.22	0.78	130.6	1	1
1825	2540	1	0	13539.5	9260.4	11.8	2970	166.08	0.78	136.5	1	1
1826	2543	1	0	17217.1	11193.6	7.8	4129	182.56	0.78	125.9	1	1
1827	2546	1	0	20153.4	27206.3	8.5	5806	402.32	1.33	130.7	1	1
1828	2550	1	0	13391.3	9150.8	11.7	3760	262.23	0.94	138.6	1	1
1829	2551	1	0	19594.9	7898.5	14.7	2894	200.87	0.97	144.0	1	1
1830	2559	1	0	3295.1	2163.2	14.0	2863	211.15	0.80	143.0	1	1
1831	2564	1	0	10879.3	14992.6	15.2	2737	197.24	1.01	141.4	1	1
1832	2565	1	0	11363.8	8802.1	11.5	2555	203.93	0.94	119.1	1	1
1833	2566	1	0	25844.7	18984.8	13.1	3231	265.85	1.19	133.1	1	1
1834	2567	1	0	25843.8	18964.3	14.5	3304	405.84	1.09	133.2	1	1
1835	2574	1	0	6928.1	31821.7	7.4	3889	132.01	0.71	126.5	1	1
1836	2577	1	0	6687.4	22107.5	16.3	1856	169.13	0.80	127.0	1	1
1837	2580	1	0	13508.5	14490.4	11.5	4731	266.25	1.17	150.4	1	1
1838	2582	1	0	24934.5	14529.3	14.4	2727	262.98	0.86	133.0	1	1
1839	2585	1	0	19609.0	6700.3	11.1	2961	217.25	0.96	124.0	1	1
1840	2586	1	0	12543.3	14887.7	11.2	3661	281.61	0.94	132.0	1	1
1841	2588	1	0	22724.3	22824.9	20.1	2554	287.00	1.15	146.5	1	1
1842	2599	1	0	13114.4	26099.2	27.5	1784	285.63	1.16	144.8	1	1
1843	2599	1	0	21585.6	7677.1	9.0	4144	217.43	1.00	130.1	1	1
1844	2602	1	0	5847.3	18077.1	14.2	2445	230.82	1.07	125.6	1	1
1845	2603	1	0	6345.2	20042.4	13.7	2766	257.93	1.09	128.4	1	1
1846	2609	1	0	6196.4	4029.4	12.9	5413	508.60	1.27	154.1	1	1
1847	2610	1	0	6113.8	30662.3	19.7	1088	241.31	1.08	98.9	1	1
1848	2610	1	0	2500.0	18058.9	15.4	2039	229.57	1.06	120.7	1	1
1849	2612	1	0	12042.9	16556.7	21.4	961	326.27	0.91	92.5	1	1
1850	2638	1	0	7910.2	11565.1	11.5	2609	173.54	0.82	124.2	1	1
1851	2651	1	0	21473.0	23687.3	10.4	2453	139.63	0.90	115.4	1	1
1852	2655	1	0	12993.6	15640.5	13.2	2128	166.40	0.80	121.0	1	1
1853	2666	1	0	6419.6	15977.0	18.7	1980	261.07	1.06	128.4	1	1
1854	2667	1	0	18988.6	28798.7	16.4	1407	194.78	0.87	107.3	1	1
1855	2674	1	0	12511.2	13375.3	8.8	3775	175.26	1.00	125.9	1	1
1856	2676	1	0	11777.6	13084.1	12.9	3103	372.44	1.24	121.8	1	1
1857	2682	1	0	14193.5	17507.2	11.7	4222	259.85	1.18	144.3	1	1
1858	2699	1	0	14531.8	13725.5	20.4	2238	234.40	1.03	144.8	1	1
1859	2701	1	0	17389.0	7408.0	11.4	3920	196.68	1.01	146.4	1	1
1860	2703	1	0	20294.6	11493.0	9.4	3570	249.08	0.89	121.6	1	1
1861	2707	1	0	9415.5	14745.4	16.9	2571	315.80	1.39	130.4	1	1
1862	2710	1	0	28238.9	9171.1	9.1	5343	303.29	0.97	140.6	1	1
1863	2719	1	0	11964.8	25505.8	12.1	2382	115.05	0.75	130.5	1	1
1864	2725	1	0	4506.2	28195.3	10.8	3033	186.42	0.77	129.0	1	1
1865	2728	1	0	12660.1	12881.4	8.5	3764	195.31	0.90	122.9	1	1
1866	2730	1	0	1374.8	18423.6	10.1	3147	145.73	0.92	130.6	1	1
1867	2735	1	0	2488.0	17888.4	12.0	2621	262.46	1.14	116.6	1	1
1868	2747	1	0	5474.6	22275.3	12.3	2416	251.74	0.87	116.1	1	1
1869	2749	1	0	25569.6	11307.0	16.9	1321	229.74	0.93	101.7	1	1
1870	2755	1	0	6624.2	28590.3	14.9	2474	225.65	0.90	132.4	1	1
1871	2765	1	0	11287.4	2881.4	8.9	3670	163.21	1.06	128.1	1	1
1872	2782	1	0	10877.8	18715.9	8.9	3575	256.39	0.79	118.8	1	1
1873	2797	1	0	11179.9	12204.4	10.0	3367	255.46	1.03	120.2	1	1
1874	2798	1	0	2733.6	7225.7	14.6	1607	135.64	0.86	116.7	1	1
1875	2806	1	0	6349.7	21700.8	9.3	5415	271.85	1.12	144.7	1	1
1876	2808	1	0	18956.7	21307.5	20.7	1191	339.34	1.10	99.2	1	1
1877	2812	1	0	6103.0	21955.6	16.9	1044	153.63	0.86	98.0	1	1
1878	2827	1	0	19203.8	15531.9	9.7	3121	204.24	0.79	120.9	1	1
1879	2853	1	0	20372.2	28317.1	9.0	3282	211.57	0.80	117.6	1	1
1880	2877	1	0	13550.4	12724.9	16.8	2995	360.93	1.09	139.6	1	1
1881	2905	1	0	13413.1	9444.8	8.5	5146	245.68	0.98	138.4	1	1
1882	2909	1	0	480.9	2627.9	10.4	2135	106.33	0.77	118.6	1	1
1883	2910	1	0	463.0	2722.5	10.5	3050	171.68	1.08	128.7	1	1
1884	2919	1	0	14266.0	31777.3	11.6	4360	302.16	1.23	142.1	1	1
1885	2920	1	0	9495.2	26226.3	8.6	4641	243.01	0.88	132.7	1	1
1886	2929	1	0	7117.4	20432.8	8.8	5019	330.87	1.39	127.8	1	1
1887	2933	1	0	4084.5	20753.8	11.4	2027	166.89	0.77	110.4	1	1
1888	2936	1	0	11379.4	11304.2	11.4	2654	226.23	0.97	117.5	1	1
1889	2937	1	0	3113.1	23606.2	8.5	5366	335.98	1.26	131.7	1	1
1890	2941	1	0	24736.6	7027.6	14.6	2203	195.98	0.87	127.6	1	1
1891	2950	1	0	2498.0	19194.8	7.5	4343	179.75	0.97	125.3	1	1
1892	2979	1	0	8012.9	28823.8	9.8	2404	108.17	0.86	116.3	1	1
1893	2982	1	0	15545.6	28221.5	22.6	1896	179.38	1.29	143.2	1	1
1894	2986	1	0	14427.7	27095.3	17.9	1617	235.84	0.98	115.3	1	1
1895	2991	1	0	4052.7	22847.3	10.2	3161	211.25	1.03	122.2	1	1
1896	3019	1	0	1153.2	21737.6	15.7	2634	230.71	0.98	139.2	1	1
1897	3020	1	0	17552.0	12079.3	17.1	2703	220.12	1.14	145.0	1	1
1898	3023	1	0	7784.8	19365.9	12.4	2943	289.01	0.99	124.3	1	1
1899	3026	1	0	13341.9	13193.5	17.8	1830	255.15	0.80	122.5	1	1
1900	3035	1	0	2754.3	4956.0	11.9	2499	266.86	1.12	114.1	1	1
1901	3040	1	0	3070.8	15159.6	16.5	1374	157.81	0.74	112.6	1	1
1902	3040	1	0	2405.2	5105.8	8.6	3576	134.71	0.81	131.9	1	1
1903	3041	1	0	3038.9	15070.1	13.7	2467	201.88	0.83	129.8	1	1
1904	3041	1	0	2376.3	5191.5	10.8	4213	336.40	0.81	137.2	1	1
1905	3042	1	0	2370.5	5079.6	11.4	2528	143.44	0.74	129.1	1	1
1906	3042	1	0	12159.1	10131.1	13.5	2333	219.66	0.96	121.7	1	1
1907	3059	1	0	17877.3	5779.2	16.4	1154	193.66	0.85	98.2	1	1
1908	3063	1	0	26587.3	11618.3	17.2	1779	209.70	0.93	121.8	1	1
1909	3070	1	0	13241.3	11937.3	12.5	2799	246.91	1.01	124.4	1	1
1910	3081	1	0	9341.6	12118.2	17.0	1314	215.25	0.92	104.0	1	1
1911	3096	1	0	6655.5	8530.3	13.0	1847	208.66	0.85	108.3	1	1
1912	3096	1	0	8850.0	9968.4	9.4	2653	144.33	0.80	116.7	1	1
1913	3099	1	0	18552.9	3769.5	17.1	1424	179.32	0.85	113.4	1	1
1914	3107	1	0	21767.7	11983.6	18.5	2604	193.32	1.04	153.0	1	1
1915	3114	1	0	6289.6	23879.5	12.8	2273	169.25	1.09	120.0	1	1
1916	3129	1	0	15228.1	11686.6	9.1	3663	235.93	0.73	124.4	1	1
1917	3139	1	0	11187.8	8832.1	15.0	1940	138.36	1.14	124.5	1	1
1918	3140	1	0	17831.4	6902.0	14.0	3937	237.23	1.13	157.8	1	1
1919	3143	1	0	6318.1	19107.7	16.1	2768	249.54	0.85	143.4	1	1
1920	3149	1	0	19046.3	3350.7	17.0	1704	204.42	1.02	119.3	1	1
1921	3161	1	0	1192.9	5815.0	13.7	1507	137.53	0.92	109.1	1	1
1922	3174	1	0	856.0	6121.1	16.0	1568	170.42	0.79	117.8	1	1
1923	3175	1	0	838.2	6144.4	8.7	3257	87.75	0.87	133.1	1	1
1924	3176	1	0	829.1	6069.6	14.0	4265	381.01	1.13	152.3	1	1
1925	3186	1	0	26400.0	14941.3	12.2	3233	203.26	1.12	134.8	1	1
1926	3196	1	0	3350.0	4619.7	14.9	1829	194.86	0.85	118.7	1	1
1927	3197	1	0	26716.6	13513.3	8.4	4364	260.07	1.00	124.3	1	1
1928	3203	1	0	3410.3	4625.9	9.9	1923	67.27	0.60	118.6	1	1
1929	3206	1	0	3396.9	4600.6	12.7	2004	122.01	0.92	122.8	1	1
1930	3207	1	0	3388.2	4630.2	13.1	1594	125.66	0.76	112.7	1	1
1931	3222	1	0	23298.1	20113.7	9.5	2917	171.14	0.81	118.1	1	1
1932	3232	1	0	3184.7	15556.1	11.3	1751	143.67	0.96	102.7	1	1
1933	3250	1	0	17008.2	16057.7	9.9	4764	388.40	1.17	129.6	1	1
1934	3259	1	0	11230.2	7514.9	11.8	3939	188.75	0.85	152.8	1	1
1935	3263	1	0	6613.7	16958.8	12.8	2927	226.46	0.79	133.8	1	1
1936	3264	1	0	7351.0	2291.3	9.9	3037	137.77	0.97	127.9	1	1
1937	3265	1	0	7367.7	2219.6	11.0	2855	180.52	0.84	128.1	1	1
1938	3279	1	0	24651.1	13657.4	10.8	3043	257.16	0.93	120.4	1	1
1939	3280	1	0	17151.3	4402.3	8.2	5259	202.96	1.00	142.3	1	1
1940	3292	1	0	18403.2	8871.0	14.6	3437	199.90	0.88	157.2	1	1
1941	3294	1	0	6082.7	16208.0	10.7	3832	180.53	0.95	142.7	1	1
1942	3295	1	0	6189.1	16130.1	11.6	2772	240.34	1.02	119.8	1	1
1943	3312	1	0	16740.5	12651.5	14.6	2208	276.08	0.85	119.1	1	1
1944	3321	1	0	8378.8	14497.5	7.4	4526	250.24	1.20	117.5	1	1
1945	3322	1	0	8376.3	14546.6	9.4	3270	230.92	0.82	118.9	1	1
1946	3326	1	0	13496.5	3722.2	15.3	2156	202.69	0.98	128.0	1	1
1947	3343	1	0	13458.5	3711.3	13.0	1461	119.15	0.54	110.7	1	1
1948	3351	1	0	535.3	1594.7	12.7	1332	102.30	0.83	104.5	1	1
1949	3366	1	0	21581.3	22160.3	13.7	2549	204.78	1.13	126.2	1	1
1950	80	2	0	14186.5	8875.0	9.5	3107	117.75	0.82	122.2	1	1
1951	182	2	0	14971.0	11738.2	7.5	4484	378.79	1.27	113.4	1	1
1952	223	2	0	3546.5	20285.5	8.5	4587	234.32	1.05	131.1	1	1
1953	252	2	0	30461.3	12193.5	8.4	4366	326.61	1.22	110.3	1	1
1954	299	2	6	12038.6	14057.9	10.0	3308	226.13	1.07	126.9	1	1
1955	311	2	2	12072.0	14089.2	8.6	3579	232.30	1.07	120.0	1	1
1956	386	3	5	21724.3	21790.4	7.8	5920	217.20	1.03	120.8	1	1
1957	434	2	0	12274.6	30525.0	7.3	5378	235.33	0.99	131.9	1	1
1958	476	2	0	6510.2	23351.1	10.0	4038	267.08	1.11	129.5	1	1
1959	484	2	0	29679.0	16200.2	11.9	4551	320.57	1.15	148.1	1	1
1960	514	2	0	22611.8	20741.2	7.3	5337	215.19	1.18	111.7	1	1
1961	533	2	4	3857.8	2873.6	9.8	4079	218.78	1.03	138.6	1	1
1962	551	2	1	9961.1	7462.5	7.1	4630	171.73	1.12	120.2	1	1
1963	696	2	3	6253.0	4068.0	7.4	5361	115.52	0.96	134.7	1	1
1964	701	2	0	9171.1	12925.2	7.1	5892	225.66	1.01	127.3	1	1
1965	886	2	2	25503.7	16808.2	9.2	5203	302.66	1.03	138.2	1	1
1966	1048	2	0	5553.5	20801.3	10.5	3805	321.26	1.37	122.2	1	1
1967	1176	2	0	19215.3	25520.3	7.6	5219	266.42	1.21	112.2	1	1
1968	1203	2	3	26826.1	11372.0	7.6	3502	202.55	0.85	115.2	1	1
1969	1249	2	0	11747.6	14982.8	10.3	4253	244.60	1.20	129.0	1	1
1970	1298	2	0	3552.8	17212.4	8.0	5150	233.17	0.98	136.8	1	1
1971	1342	2	0	23656.5	10717.8	7.3	5620	170.96	1.24	113.7	1	1
1972	2364	2	0	9122.9	23703.7	7.6	3910	167.55	0.98	129.1	1	1
1973	2455	2	5	6055.8	30167.6	7.9	3349	261.82	1.10	107.7	1	1
1974	2459	3	1	6043.2	30185.8	7.5	5062	242.57	1.06	116.8	1	1
1975	2514	2	0	17228.2	11185.0	10.2	3118	294.07	1.09	116.9	1	1
1976	2601	2	1	5855.5	18056.3	7.7	5949	201.15	0.85	123.6	1	1
1977	2680	2	0	6703.5	16969.2	7.8	5939	218.03	0.92	119.6	1	1
1978	2849	2	0	2360.5	8688.9	7.3	4115	169.66	0.89	116.6	1	1
1979	3088	2	0	8871.0	9962.5	8.7	3604	166.20	0.84	121.9	1	1
1980	3145	2	1	13818.4	10266.0	7.6	3299	197.15	1.01	108.0	1	1
1981	3220	2	0	2689.2	17902.8	8.1	3609	154.73	0.96	116.3	1	1
1982	80	1	0	11739.2	13298.7	13.7	2427	207.75	1.10	126.5	2	1
1983	81	1	0	4396.5	11749.1	14.6	871	42.86	0.54	113.9	2	1
1984	81	1	0	24284.9	6907.4	13.1	1830	147.50	0.95	119.9	2	1
1985	82	1	0	26659.3	14138.5	14.4	907	39.21	0.76	110.5	2	1
1986	82	1	0	3887.9	7331.2	7.5	1985	39.04	0.55	118.3	2	1
1987	82	1	0	2360.1	2749.7	8.5	2013	46.78	0.63	124.1	2	1
1988	83	1	0	3741.9	7337.3	8.4	1508	60.38	0.67	102.0	2	1
1989	84	1	0	24855.8	20956.6	18.9	1572	109.38	0.82	144.2	2	1
1990	84	1	0	30592.9	12893.9	15.6	2096	186.02	1.23	130.9	2	1
1991	84	1	0	3649.5	7498.2	10.6	1601	53.54	0.71	122.2	2	1
