Index	First Frame	Number Frames	Frames Missing	Position X [nm]	Position Y [nm]	Precision [nm]	Number Photons	Background variance	Chi square	PSF half width [nm]	Channel	Z Slice
105	229	1	0	25513.0	21982.5	21.9	1667	295.68	0.93	125.6	1	1
106	229	1	0	2965.6	2499.9	11.3	1999	103.66	0.89	119.1	1	1
107	230	1	0	11270.4	27759.3	9.0	3475	184.10	0.96	122.5	1	1
108	231	1	0	2982.2	2532.6	15.6	1957	167.09	0.91	129.8	1	1
109	233	1	0	15614.8	27344.9	10.6	3269	187.86	0.75	132.1	1	1
110	241	1	0	22714.7	22694.3	17.2	1544	234.90	0.81	111.7	1	1
111	251	1	0	30452.1	12246.4	17.7	4260	426.54	1.18	164.3	1	1
112	252	1	0	13842.0	25611.3	8.1	4694	281.91	0.90	125.6	1	1
113	253	1	0	21638.9	7150.2	12.7	2896	251.39	0.93	129.0	1	1
114	254	1	0	22404.6	28333.7	16.1	1677	173.54	0.90	117.5	1	1
115	257	1	0	16631.6	2787.5	17.0	1817	186.38	1.02	125.8	1	1
116	260	1	0	8644.6	27908.8	16.0	3245	180.07	0.89	163.2	1	1
117	260	1	0	25565.3	15457.0	10.6	2890	218.43	0.99	118.4	1	1
118	269	1	0	1733.8	8995.0	13.4	1343	110.75	0.82	105.5	1	1
119	272	1	0	30569.6	14732.7	25.8	1793	284.21	1.09	140.7	1	1
120	276	1	0	15310.0	3524.0	11.5	3121	172.90	0.95	135.7	1	1
121	276	1	0	2064.9	9135.4	8.5	3391	188.12	0.91	119.7	1	1
122	277	1	0	15258.9	3641.7	12.2	3353	265.80	0.98	134.8	1	1
123	278	1	0	2127.2	9175.2	9.5	2896	151.81	0.99	119.8	1	1
124	278	1	0	15164.6	3795.4	10.3	3665	228.23	0.90	132.8	1	1
125	279	1	0	2119.8	9201.6	13.2	2431	187.71	0.76	129.9	1	1
126	279	1	0	15063.4	3625.9	10.9	3743	193.91	0.90	142.3	1	1
127	282	1	0	3624.5	16526.5	21.5	1567	218.21	0.90	128.9	1	1
128	282	1	0	12592.9	9721.9	16.3	2519	212.99	1.05	140.2	1	1
129	284	1	0	10902.1	11871.1	19.5	1895	334.88	0.81	124.2	1	1
130	286	1	0	13151.6	27244.9	13.6	1704	120.71	0.76	116.7	1	1
131	292	1	0	11449.6	13032.6	13.1	3636	227.72	0.91	147.9	1	1
132	293	1	0	15644.2	28913.1	14.4	1738	254.02	0.98	105.3	1	1
133	295	1	0	12069.4	14032.5	19.3	1291	229.01	1.05	106.5	1	1
134	295	1	0	6119.3	22375.7	14.0	3121	211.51	0.88	145.5	1	1
135	298	1	0	30471.6	12218.5	19.8	1617	366.91	1.13	111.1	1	1
136	298	1	0	26946.3	20388.5	9.1	3999	196.78	0.94	130.1	1	1
137	299	1	0	7510.7	16793.6	10.1	3153	198.59	0.79	124.9	1	1
138	299	1	0	13426.6	12693.3	10.5	4370	437.50	0.88	128.4	1	1
139	300	1	0	12070.9	14054.5	16.0	1602	192.97	0.94	111.6	1	1
140	301	1	0	28881.9	13807.4	14.1	2187	252.66	0.97	116.5	1	1
141	302	1	0	28705.2	13801.3	15.0	5559	621.83	0.96	161.3	1	1
142	303	1	0	28615.7	13783.1	13.3	3506	277.56	1.37	136.3	1	1
143	308	1	0	5228.9	20627.5	18.1	1184	235.94	0.99	99.7	1	1
144	308	1	0	18752.4	3460.6	9.0	3400	109.22	0.89	132.5	1	1
145	309	1	0	18797.7	3468.2	11.0	4024	148.28	1.13	151.4	1	1
146	310	1	0	18917.1	3367.6	16.4	2787	298.23	0.91	141.1	1	1
147	310	1	0	6697.6	16819.5	14.8	4327	322.47	1.20	159.8	1	1
148	310	1	0	2822.8	29878.9	18.9	5603	1204.91	1.80	156.4	1	1
149	315	1	0	22466.7	22907.2	16.1	2266	153.76	0.79	140.5	1	1
150	328	1	0	23960.5	23726.3	17.6	1702	207.59	0.77	122.4	1	1
151	328	1	0	11761.1	13094.0	15.8	2201	277.41	0.77	124.2	1	1
152	328	1	0	12060.8	14081.1	13.9	2466	294.24	1.10	118.4	1	1
153	330	1	0	11800.0	13097.0	19.0	2301	363.73	1.08	130.4	1	1
154	331	1	0	24001.3	23733.0	16.6	1685	226.84	0.86	115.2	1	1
155	333	1	0	30459.1	12228.8	19.0	1766	358.81	0.97	115.2	1	1
156	337	1	0	4108.6	28395.0	11.3	2695	104.59	1.11	131.1	1	1
157	340	1	0	13358.3	9288.9	17.9	5454	633.23	0.95	175.2	1	1
158	345	1	0	30461.7	12241.7	29.7	2046	363.82	1.11	154.3	1	1
159	346	1	0	6347.9	25837.0	9.0	4141	168.00	0.75	138.5	1	1
160	347	1	0	6438.1	25903.8	11.0	3297	261.23	1.02	125.3	1	1
161	354	1	0	10850.8	12044.1	22.3	1304	304.76	1.10	110.2	1	1
162	355	1	0	14951.1	11824.0	12.8	2865	217.62	1.05	129.4	1	1
163	358	1	0	28893.5	15324.9	14.6	2943	287.02	0.76	137.0	1	1
164	364	1	0	28797.4	13755.8	14.5	3439	284.30	1.18	143.3	1	1
165	365	1	0	30423.3	12202.2	10.1	2493	178.66	0.91	110.8	1	1
166	366	1	0	30467.4	12214.7	21.5	1423	363.42	1.13	108.8	1	1
167	371	1	0	9451.7	20973.0	14.1	4262	279.74	1.09	159.0	1	1
168	380	1	0	18404.6	18730.2	21.2	1501	281.97	1.08	116.5	1	1
169	380	1	0	11062.1	21351.6	12.6	1672	199.80	0.86	101.3	1	1
170	380	1	0	26924.9	20394.8	14.3	1777	151.19	1.04	114.1	1	1
171	381	1	0	22870.2	22611.6	17.1	1843	370.26	0.86	111.4	1	1
172	382	1	0	7113.5	26826.1	11.1	4448	357.71	1.19	136.5	1	1
173	382	1	0	17309.9	8210.0	9.7	5023	317.78	1.23	137.8	1	1
174	383	1	0	2897.7	16227.7	11.5	2457	139.92	0.82	126.0	1	1
175	383	1	0	28419.4	15547.1	10.7	3882	247.14	0.79	136.9	1	1
176	383	1	0	28840.4	13724.3	11.0	3301	264.66	1.00	123.7	1	1
177	384	1	0	16997.2	8379.8	17.2	2107	309.49	0.97	123.5	1	1
178	384	1	0	7096.8	24719.5	8.1	3606	181.00	0.81	120.3	1	1
179	386	1	0	18099.0	19080.0	13.7	2835	402.19	1.09	119.6	1	1
180	387	1	0	2782.3	17941.7	15.8	2097	230.55	0.95	124.5	1	1
181	388	1	0	499.4	23782.6	13.3	2563	218.01	1.21	125.2	1	1
182	389	1	0	23804.2	14077.6	12.8	2650	171.43	0.60	136.1	1	1
183	389	1	0	22686.7	22767.6	19.6	2342	247.24	1.18	141.8	1	1
184	389	1	0	642.6	23801.2	9.2	5088	236.95	1.22	142.3	1	1
185	391	1	0	19098.8	4587.5	15.2	2805	369.05	1.28	128.1	1	1
186	391	1	0	22665.6	11003.8	13.0	4221	277.88	0.97	153.9	1	1
187	391	1	0	13024.1	9537.2	10.5	5721	514.06	1.84	136.4	1	1
188	392	1	0	19099.6	4550.5	10.1	3147	178.39	1.11	124.1	1	1
189	393	1	0	25195.7	16643.0	15.7	5382	552.30	1.06	166.2	1	1
190	393	1	0	11220.1	11844.2	13.5	3161	332.17	0.94	130.7	1	1
191	394	1	0	7660.5	27940.6	8.1	5147	225.13	0.95	136.6	1	1
192	395	1	0	10856.9	8955.6	13.3	2662	211.29	1.00	129.7	1	1
193	396	1	0	18337.6	18739.0	15.3	3682	490.38	1.23	137.9	1	1
194	397	1	0	13306.8	12487.4	21.3	1382	307.36	0.80	112.2	1	1
195	397	1	0	13554.4	6508.7	15.3	3609	453.57	0.89	142.2	1	1
196	397	1	0	19841.0	7425.3	13.8	2181	249.71	0.94	116.9	1	1
197	398	1	0	6772.9	16723.1	19.5	3224	240.58	0.96	170.3	1	1
